branch,i,j,k,G_ijk_raw_Ry_au,qe_units,G_ijk_pmV,note,provenance
LDA@PBEsol-geometry,x,x,x,0.0,"Rydberg a.u. (d(epsilon_ij)/dE_k, symmetrized cartesian axis, electronic+XC-derivative total)",0.0,"this is G_ijk = d(eps)/dE, NOT yet the Pockels r tensor -- see pockels_cartesian.csv for that conversion",C:\Users\mike\Documents\occam-qe\runs\delC\C3_LDA\EO_at_PBEsol_geom\artifact/ph.out
LDA@PBEsol-geometry,x,x,y,287.316904966,"Rydberg a.u. (d(epsilon_ij)/dE_k, symmetrized cartesian axis, electronic+XC-derivative total)",790.178952,"this is G_ijk = d(eps)/dE, NOT yet the Pockels r tensor -- see pockels_cartesian.csv for that conversion",C:\Users\mike\Documents\occam-qe\runs\delC\C3_LDA\EO_at_PBEsol_geom\artifact/ph.out
LDA@PBEsol-geometry,x,x,z,-420.403536473,"Rydberg a.u. (d(epsilon_ij)/dE_k, symmetrized cartesian axis, electronic+XC-derivative total)",-1156.193806,"this is G_ijk = d(eps)/dE, NOT yet the Pockels r tensor -- see pockels_cartesian.csv for that conversion",C:\Users\mike\Documents\occam-qe\runs\delC\C3_LDA\EO_at_PBEsol_geom\artifact/ph.out
LDA@PBEsol-geometry,x,y,x,287.316904966,"Rydberg a.u. (d(epsilon_ij)/dE_k, symmetrized cartesian axis, electronic+XC-derivative total)",790.178952,"this is G_ijk = d(eps)/dE, NOT yet the Pockels r tensor -- see pockels_cartesian.csv for that conversion",C:\Users\mike\Documents\occam-qe\runs\delC\C3_LDA\EO_at_PBEsol_geom\artifact/ph.out
LDA@PBEsol-geometry,x,y,y,0.0,"Rydberg a.u. (d(epsilon_ij)/dE_k, symmetrized cartesian axis, electronic+XC-derivative total)",0.0,"this is G_ijk = d(eps)/dE, NOT yet the Pockels r tensor -- see pockels_cartesian.csv for that conversion",C:\Users\mike\Documents\occam-qe\runs\delC\C3_LDA\EO_at_PBEsol_geom\artifact/ph.out
LDA@PBEsol-geometry,x,y,z,-0.0,"Rydberg a.u. (d(epsilon_ij)/dE_k, symmetrized cartesian axis, electronic+XC-derivative total)",-0.0,"this is G_ijk = d(eps)/dE, NOT yet the Pockels r tensor -- see pockels_cartesian.csv for that conversion",C:\Users\mike\Documents\occam-qe\runs\delC\C3_LDA\EO_at_PBEsol_geom\artifact/ph.out
LDA@PBEsol-geometry,x,z,x,-420.403536473,"Rydberg a.u. (d(epsilon_ij)/dE_k, symmetrized cartesian axis, electronic+XC-derivative total)",-1156.193806,"this is G_ijk = d(eps)/dE, NOT yet the Pockels r tensor -- see pockels_cartesian.csv for that conversion",C:\Users\mike\Documents\occam-qe\runs\delC\C3_LDA\EO_at_PBEsol_geom\artifact/ph.out
LDA@PBEsol-geometry,x,z,y,-0.0,"Rydberg a.u. (d(epsilon_ij)/dE_k, symmetrized cartesian axis, electronic+XC-derivative total)",-0.0,"this is G_ijk = d(eps)/dE, NOT yet the Pockels r tensor -- see pockels_cartesian.csv for that conversion",C:\Users\mike\Documents\occam-qe\runs\delC\C3_LDA\EO_at_PBEsol_geom\artifact/ph.out
LDA@PBEsol-geometry,x,z,z,-0.0,"Rydberg a.u. (d(epsilon_ij)/dE_k, symmetrized cartesian axis, electronic+XC-derivative total)",-0.0,"this is G_ijk = d(eps)/dE, NOT yet the Pockels r tensor -- see pockels_cartesian.csv for that conversion",C:\Users\mike\Documents\occam-qe\runs\delC\C3_LDA\EO_at_PBEsol_geom\artifact/ph.out
LDA@PBEsol-geometry,y,x,x,287.316904966,"Rydberg a.u. (d(epsilon_ij)/dE_k, symmetrized cartesian axis, electronic+XC-derivative total)",790.178952,"this is G_ijk = d(eps)/dE, NOT yet the Pockels r tensor -- see pockels_cartesian.csv for that conversion",C:\Users\mike\Documents\occam-qe\runs\delC\C3_LDA\EO_at_PBEsol_geom\artifact/ph.out
